3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,5,6,5,5,4,4,4,4,4,3,3,3,3,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,1
4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,2,2,2,2,2,1,2,4,4,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,3,3,3,3,3,3,3,2,2,1,3,3,3,4,4,4,4,4,5,4,4,6,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,4,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,5,4,4,3,3,2,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,5,5,6,6
5,6,6,6,5,5,4,4,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3
2,2,2,1,2,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,5,5,4,4,4,5,5,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,6,4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3
3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,3,4,4,4,4,5,5,6,4,5,5,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,6,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,5,6,5,4,4,4,4,3,3,4,4
3,3,3,4,3,4,3,4,3,4,4,3,4,5,4,4,4,4,3,3,4,3,4,6,6,4,4,4,4,5,4,4,3,3,4,4,6,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,1,4,3
3,3,3,3,3,3,4,3,3,3,3,3,2,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,6,5,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,5,5,4,4,4,4,4,4,4,3,3,3,3,2,2,2,1,1,2,2,2,2,2
4,4,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,5,6,4,4,3,3,3,3,3
3,4,3,3,1,3,2,2,3,4,3,3,3,3,2,3,3,3,4,4,4,3,4,5,4,5,4,5,6,4,4,4,3,3,4,4,4,4,5,3,4,4,3,4,3,4,4,3,3,3,3,4,3,4,3,4,4,3,3,4
4,4,4,4,4,4,6,5,4,4,3,4,3,3,3,1,3,4,3,3,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1
2,2,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3
